"Name","PA","AB","H","2B","3B","HR","R","RBI","BB","SO","HBP","SB","CS","AVG","OBP","SLG","OPS","wOBA","BsR","Fld","WAR","playerid"
"Jeff Arnold","1","1","0","0","0","0","0","0","0","0","0","0","0",".196",".248",".296",".544",".243","0.0","0.0","0.0","sa549361"
"Miguel Torres","1","1","0","0","0","0","0","0","0","0","0","0","0",".212",".255",".291",".546",".243","0.0","0.0","0.0","sa509440"
"Pat Cantwell","1","1","0","0","0","0","0","0","0","0","0","0","0",".214",".257",".285",".542",".242","0.0","0.0","0.0","sa602546"
"Manny Del Campo","1","1","0","0","0","0","0","0","0","0","0","0","0",".204",".253",".291",".544",".242","0.0","0.0","0.0","sa245573"
"Koyie Hill","1","1","0","0","0","0","0","0","0","0","0","0","0",".206",".257",".289",".546",".242","0.0","0.0","0.0","1829"
"Cameron Garfield","1","1","0","0","0","0","0","0","0","0","0","0","0",".208",".244",".304",".548",".242","0.0","0.0","0.0","sa500836"
"Joe Oliveira","1","1","0","0","0","0","0","0","0","0","0","0","0",".200",".257",".280",".538",".242","0.0","0.0","0.0","sa549145"
"Oscar Hernandez","1","1","0","0","0","0","0","0","0","0","0","0","0",".200",".245",".300",".546",".241","0.0","0.0","0.0","sa546558"
"Francisco Diaz","1","1","0","0","0","0","0","0","0","0","0","0","0",".207",".260",".275",".535",".241","0.0","0.0","0.0","sa505229"
"Jose Ramon","1","1","0","0","0","0","0","0","0","0","0","0","0",".211",".252",".291",".543",".241","0.0","0.0","0.0","sa541837"
"Parker Berberet","1","1","0","0","0","0","0","0","0","0","0","0","0",".204",".253",".286",".538",".241","0.0","0.0","0.0","sa546748"
"Jose Briceno","1","1","0","0","0","0","0","0","0","0","0","0","0",".208",".245",".298",".543",".240","0.0","0.0","0.0","sa548003"
"Geoff Klein","1","1","0","0","0","0","0","0","0","0","0","0","0",".202",".252",".284",".536",".240","0.0","0.0","0.0","sa547202"
"Chace Numata","1","1","0","0","0","0","0","0","0","0","0","0","0",".208",".252",".286",".538",".240","0.0","0.0","0.0","sa549139"
"Kevin David","1","1","0","0","0","0","0","0","0","0","0","0","0",".207",".250",".287",".538",".240","0.0","0.0","0.0","sa503073"
"Israel Nunez","1","1","0","0","0","0","0","0","0","0","0","0","0",".208",".255",".282",".536",".239","0.0","0.0","0.0","sa392885"
"Michael Ramirez","1","1","0","0","0","0","0","0","0","0","0","0","0",".208",".246",".292",".537",".238","0.0","0.0","0.0","sa506305"
"Kevin Torres","1","1","0","0","0","0","0","0","0","0","0","0","0",".207",".247",".287",".534",".238","0.0","0.0","0.0","sa454965"
"Roidany Aguila","1","1","0","0","0","0","0","0","0","0","0","0","0",".202",".238",".299",".537",".238","0.0","0.0","0.0","sa502028"
"Gabriel Purroy","1","1","0","0","0","0","0","0","0","0","0","0","0",".200",".245",".290",".534",".237","0.0","0.0","0.0","sa505034"
"Luke Maile","1","1","0","0","0","0","0","0","0","0","0","0","0",".205",".253",".274",".528",".237","0.0","0.0","0.0","sa503535"
"Josh Ludy","1","1","0","0","0","0","0","0","0","0","0","0","0",".198",".246",".285",".530",".237","0.0","0.0","0.0","sa546687"
"Charlie Valerio","1","1","0","0","0","0","0","0","0","0","0","0","0",".198",".249",".278",".527",".236","0.0","0.0","0.0","sa547851"
"Micah Gibbs","1","1","0","0","0","0","0","0","0","0","0","0","0",".186",".260",".255",".515",".236","0.0","0.0","0.0","sa526442"
"Oscar Lemus","1","1","0","0","0","0","0","0","0","0","0","0","0",".197",".245",".285",".530",".236","0.0","0.0","0.0","sa509465"
"Albert Cordero","1","1","0","0","0","0","0","0","0","0","0","0","0",".207",".248",".279",".527",".236","0.0","0.0","0.0","sa504824"
"Kawika Emsley-Pai","1","1","0","0","0","0","0","0","0","0","0","0","0",".181",".265",".244",".508",".235","0.0","0.0","0.0","sa548473"
"Sergio Burruel","1","1","0","0","0","0","0","0","0","0","0","0","0",".198",".255",".267",".522",".235","0.0","0.0","0.0","sa502070"
